full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,108737,108737,17919,172,172,64,https://github.com/anthropics/claude-code
claude-code-best/claude-code,13541,13541,13838,144,144,78,https://github.com/claude-code-best/claude-code
affaan-m/everything-claude-code,137535,137535,20426,470,470,100,https://github.com/affaan-m/everything-claude-code
jarmuine/claude-code,1792,1792,5385,16,16,22,https://github.com/jarmuine/claude-code
shareAI-lab/learn-claude-code,48194,48194,7760,90,90,21,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,8373,8373,14013,27,27,18,https://github.com/ChinaSiro/claude-code-sourcemap
yasasbanukaofficial/claude-code,1438,1438,2610,69,69,79,https://github.com/yasasbanukaofficial/claude-code
codeaashu/claude-code,1367,1367,2190,57,57,57,https://github.com/codeaashu/claude-code
tanbiralam/claude-code,1210,1210,2101,20,20,27,https://github.com/tanbiralam/claude-code
hesreallyhim/awesome-claude-code,36446,36446,2866,76,76,4,https://github.com/hesreallyhim/awesome-claude-code
RishabhK103/claude-code,47,47,7386,1,1,-3,https://github.com/RishabhK103/claude-code
musistudio/claude-code-router,31486,31486,2481,28,28,7,https://github.com/musistudio/claude-code-router
pengchengneo/Claude-Code,973,973,1953,26,26,19,https://github.com/pengchengneo/Claude-Code
davila7/claude-code-templates,24133,24133,2371,7,7,0,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,31759,31759,2868,117,117,28,https://github.com/shanraisshan/claude-code-best-practice
Onewon/claude-code,162,162,2138,1,1,12,https://github.com/Onewon/claude-code
LING71671/Open-ClaudeCode,587,587,902,12,12,14,https://github.com/LING71671/Open-ClaudeCode
oboard/claude-code-rev,2729,2729,3521,18,18,15,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,1987,1987,3289,18,18,9,https://github.com/ponponon/claude_code_src
VoltAgent/awesome-claude-code-subagents,16223,16223,1831,15,15,0,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6880,6880,1663,5,5,1,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,8234,8234,1520,21,21,4,https://github.com/Piebald-AI/claude-code-system-prompts
diet103/claude-code-infrastructure-showcase,9413,9413,1204,-2,-2,0,https://github.com/diet103/claude-code-infrastructure-showcase
Donchitos/Claude-Code-Game-Studios,8123,8123,1219,19,19,5,https://github.com/Donchitos/Claude-Code-Game-Studios
frankbria/ralph-claude-code,8412,8412,622,11,11,1,https://github.com/frankbria/ralph-claude-code
T-Lab-CUHKSZ/claude-code,274,274,571,274,274,571,https://github.com/T-Lab-CUHKSZ/claude-code
hangsman/claude-code-source,714,714,1681,3,3,3,https://github.com/hangsman/claude-code-source
ykdojo/claude-code-tips,7140,7140,498,8,8,0,https://github.com/ykdojo/claude-code-tips
ChrisWiles/claude-code-showcase,5708,5708,510,0,0,-1,https://github.com/ChrisWiles/claude-code-showcase
pedrohcgs/claude-code-my-workflow,839,839,1630,1,1,2,https://github.com/pedrohcgs/claude-code-my-workflow
OneRedOak/claude-code-workflows,3766,3766,553,-1,-1,0,https://github.com/OneRedOak/claude-code-workflows
chauncygu/collection-claude-code-source-code,1423,1423,1731,36,36,29,https://github.com/chauncygu/collection-claude-code-source-code
huangserva/claude-code-cli,502,502,1213,2,2,4,https://github.com/huangserva/claude-code-cli
liuup/claude-code-analysis,879,879,889,8,8,13,https://github.com/liuup/claude-code-analysis
leaked-claude-code/leaked-claude-code,755,755,956,15,15,7,https://github.com/leaked-claude-code/leaked-claude-code
qwibitai/nanoclaw,26471,26471,10575,23,23,44,https://github.com/qwibitai/nanoclaw
1rgs/claude-code-proxy,3368,3368,444,0,0,0,https://github.com/1rgs/claude-code-proxy
sickn33/antigravity-awesome-skills,30611,30611,5111,70,70,8,https://github.com/sickn33/antigravity-awesome-skills
777genius/claude-code-source-code,871,871,1124,4,4,2,https://github.com/777genius/claude-code-source-code
anthropics/skills,110471,110471,12467,120,120,27,https://github.com/anthropics/skills
disler/claude-code-hooks-mastery,3468,3468,590,0,0,0,https://github.com/disler/claude-code-hooks-mastery
lintsinghua/claude-code-book,1932,1932,501,85,85,14,https://github.com/lintsinghua/claude-code-book
zebbern/claude-code-guide,3832,3832,360,11,11,2,https://github.com/zebbern/claude-code-guide
alex000kim/claude-code,190,190,298,1,1,0,https://github.com/alex000kim/claude-code
Maciek-roboblog/Claude-Code-Usage-Monitor,7343,7343,363,5,5,2,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
kodu-ai/claude-coder,5282,5282,198,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2336,2336,400,-1,-1,0,https://github.com/Yuyz0112/claude-code-reverse
VineeTagarwaL-code/claude-code,257,257,255,0,0,1,https://github.com/VineeTagarwaL-code/claude-code
zstmfhy/Claude-code,183,183,277,0,0,-1,https://github.com/zstmfhy/Claude-code
xorespesp/claude-code,194,194,270,4,4,3,https://github.com/xorespesp/claude-code
fuergaosi233/claude-code-proxy,2335,2335,329,3,3,0,https://github.com/fuergaosi233/claude-code-proxy
RichardAtCT/claude-code-telegram,2344,2344,314,4,4,1,https://github.com/RichardAtCT/claude-code-telegram
anthropics/claude-code-security-review,4124,4124,359,0,0,0,https://github.com/anthropics/claude-code-security-review
FlorianBruniaux/claude-code-ultimate-guide,2891,2891,413,15,15,4,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
freestylefly/claude-code,117,117,272,1,1,0,https://github.com/freestylefly/claude-code
Cranot/claude-code-guide,2566,2566,283,1,1,0,https://github.com/Cranot/claude-code-guide
