full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,113587,113587,18985,145,145,24,https://github.com/anthropics/claude-code
claude-code-best/claude-code,15692,15692,14986,30,30,14,https://github.com/claude-code-best/claude-code
affaan-m/everything-claude-code,154694,154694,23990,497,497,64,https://github.com/affaan-m/everything-claude-code
jarmuine/claude-code,2003,2003,5686,2,2,4,https://github.com/jarmuine/claude-code
shareAI-lab/learn-claude-code,52884,52884,8664,136,136,26,https://github.com/shareAI-lab/learn-claude-code
yasasbanukaofficial/claude-code,2457,2457,3879,18,18,13,https://github.com/yasasbanukaofficial/claude-code
ChinaSiro/claude-code-sourcemap,8838,8838,14442,9,9,6,https://github.com/ChinaSiro/claude-code-sourcemap
codeaashu/claude-code,2042,2042,2906,6,6,6,https://github.com/codeaashu/claude-code
tanbiralam/claude-code,1417,1417,2305,5,5,4,https://github.com/tanbiralam/claude-code
pengchengneo/Claude-Code,1170,1170,2128,1,1,2,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,38565,38565,3152,73,73,9,https://github.com/hesreallyhim/awesome-claude-code
RishabhK103/claude-code,56,56,7332,0,0,0,https://github.com/RishabhK103/claude-code
musistudio/claude-code-router,32174,32174,2550,22,22,2,https://github.com/musistudio/claude-code-router
shanraisshan/claude-code-best-practice,42095,42095,4011,779,779,95,https://github.com/shanraisshan/claude-code-best-practice
davila7/claude-code-templates,24567,24567,2429,14,14,4,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,741,741,1095,4,4,2,https://github.com/LING71671/Open-ClaudeCode
oboard/claude-code-rev,2940,2940,3704,2,2,0,https://github.com/oboard/claude-code-rev
Onewon/claude-code,173,173,2261,0,0,0,https://github.com/Onewon/claude-code
ponponon/claude_code_src,2148,2148,3464,3,3,3,https://github.com/ponponon/claude_code_src
VoltAgent/awesome-claude-code-subagents,17211,17211,1964,33,33,3,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,7048,7048,1703,5,5,1,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,8686,8686,1599,14,14,1,https://github.com/Piebald-AI/claude-code-system-prompts
Donchitos/Claude-Code-Game-Studios,9066,9066,1411,107,107,23,https://github.com/Donchitos/Claude-Code-Game-Studios
diet103/claude-code-infrastructure-showcase,9460,9460,1207,4,4,0,https://github.com/diet103/claude-code-infrastructure-showcase
